"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Login Zaidan Educare","1","0","Login with empty username","0"
"0","","0","Page verification","1","0","Verification that login page is exist","0"
"0","","0","Login Zaidan Educare","1","0","Login with invalid credentials password","0"
"0","","1","Login Zaidan Educare","0","0","Login with username more than 20 characters","0"
"0","","0","Logout Zaidan Educare","1","0","Logout redirects to login page","0"
"0","","0","Login Zaidan Educare","1","0","Login with invalid credentials username","0"
"0","","1","Login Zaidan Educare","0","0","Login with password less than 6 characters","0"
"0","","0","Login Zaidan Educare","1","0","Login with valid credentials","0"
"0","","0","Login Zaidan Educare","1","0","Login with empty password","0"
"0","","0","Login Zaidan Educare","1","0","Login with empty username and password","0"
"0","","1","Login Zaidan Educare","0","0","Login with wrong formatted username","0"
