"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4575","Verification that login page is exist","","Thu May 29 08:23:01 WIB 2025","passed","Thu May 29 08:23:06 WIB 2025","","Page verification","Verification that login page is exist",""
"","4804","Login with wrong formatted username","","Thu May 29 08:22:40 WIB 2025","failed","Thu May 29 08:22:45 WIB 2025","","Login Zaidan Educare","Login with wrong formatted username",""
"","4500","Login with invalid credentials username","","Thu May 29 08:22:17 WIB 2025","passed","Thu May 29 08:22:22 WIB 2025","","Login Zaidan Educare","Login with invalid credentials username",""
"","6789","Logout redirects to login page","","Thu May 29 08:22:54 WIB 2025","passed","Thu May 29 08:23:01 WIB 2025","","Logout Zaidan Educare","Logout redirects to login page",""
"","4408","Login with empty username and password","","Thu May 29 08:22:35 WIB 2025","passed","Thu May 29 08:22:40 WIB 2025","","Login Zaidan Educare","Login with empty username and password",""
"","6860","Login with valid credentials","","Thu May 29 08:22:10 WIB 2025","passed","Thu May 29 08:22:17 WIB 2025","","Login Zaidan Educare","Login with valid credentials",""
"","4423","Login with empty username","","Thu May 29 08:22:31 WIB 2025","passed","Thu May 29 08:22:35 WIB 2025","","Login Zaidan Educare","Login with empty username",""
"","6598","Verification that the eye icon is working","","Thu May 29 08:23:06 WIB 2025","passed","Thu May 29 08:23:12 WIB 2025","","Page verification","Verification that the eye icon is working",""
"","4898","Login with username more than 20 characters","","Thu May 29 08:22:45 WIB 2025","failed","Thu May 29 08:22:49 WIB 2025","","Login Zaidan Educare","Login with username more than 20 characters",""
"","4491","Login with empty password","","Thu May 29 08:22:26 WIB 2025","passed","Thu May 29 08:22:31 WIB 2025","","Login Zaidan Educare","Login with empty password",""
"","4553","Login with invalid credentials password","","Thu May 29 08:22:22 WIB 2025","passed","Thu May 29 08:22:26 WIB 2025","","Login Zaidan Educare","Login with invalid credentials password",""
"","4811","Login with password less than 6 characters","","Thu May 29 08:22:49 WIB 2025","failed","Thu May 29 08:22:54 WIB 2025","","Login Zaidan Educare","Login with password less than 6 characters",""
